Filename,datetime,aCode,acc,AttSize,Act,AttCnt,AttNames,MsgSize,MsgId,Hld
process_20200203132128324.log,2020-02-03T13:20:17-0500,dGChGwPMM1W8Mm9329nsLA,CUSA31A369,41846,Acc,1,"""image001.png"", ""REFUS _ US  _ Policy 5116252 TIRE'S WAREHOUSE, LLC _ Buyer EH ID  0124900276 Buena Park Luxury Imports, Inc.   _ IDS number 0084267479.pdf""",111260,<BYAPR04MB41036D58611F6C1D08E9132D98000@BYAPR04MB4103.namprd04.prod.outlook.com>,
process_20200203132155196.log,2020-02-03T13:20:40-0500,dKlkQ_IdP5Gedy0fgA0SAg,CUSA31A369,0,Acc,0,,46993,<dc6bceff2c994c1888c07daf98aa9f09@1251203807>,
process_20200203132322019.log,2020-02-03T13:19:54-0500,YNeejFVaMim_1QDuK8cUcA,CUSA31A369,0,Acc,0,,108184,<a66c9bf3-ea67-4f06-ab9e-fadec9df3a9e@wayfair.com>,
process_20200203132333016.log,2020-02-03T13:21:21-0500,lS3i5Ys6MKacgaxjJ7gHvA,CUSA31A369,66151,Acc,1,"""GOODYEAR - Consumer-Commercial-Service Codes and Pricing 01_01_2020.xlsx""",75682,<9D6D9985-5E09-4B47-8740-BA658195227F@gmail.com>,
process_20200203132340850.log,2020-02-03T13:20:06-0500,wJc53eMgNt-rg8nuHOrvug,CUSA31A369,783741,Acc,1,"""image001.png"", ""USAF - TWI - 2020 Sales and Marketing Program.pdf""",803498,<AM0PR07MB5650BBC8CE07DD54D65127779D000@AM0PR07MB5650.eurprd07.prod.outlook.com>,
process_20200203132340850.log,2020-02-03T13:20:16-0500,wJc53eMgNt-rg8nuHOrvug,CUSA31A369,783741,Acc,1,"""image001.png"", ""USAF - TWI - 2020 Sales and Marketing Program.pdf""",803498,<AM0PR07MB5650BBC8CE07DD54D65127779D000@AM0PR07MB5650.eurprd07.prod.outlook.com>,
process_20200203132548658.log,2020-02-03T13:20:15-0500,EVoDPl2UO_qlpJejK1BIXA,CUSA31A369,0,Acc,0,,4617,<c0lkzMnvTDuYG72vc__hog@ismtpd0009p1las1.sendgrid.net>,
process_20200203132607865.log,2020-02-03T13:20:48-0500,w18DFmyxOCKM62DtIq6DAw,CUSA31A369,0,Acc,0,,6672,<699329958.771580754045944.JavaMail.pt852@crm4a4-eq.8x8hosts.internal>,
process_20200203132607865.log,2020-02-03T13:22:48-0500,UJGIiuYAMky0AYYXlpPazQ,CUSA31A369,74828,Acc,1,"""image002.jpg"", ""image003.jpg"", ""UNBRANDED CUSTOMER REQUEST FORM - Versai Petroleum LLC 2.xlsx""",100603,<AM6P120MB02302C3F57A6BEDBC784F284FE000@AM6P120MB0230.EURP120.PROD.OUTLOOK.COM>,
process_20200203132625709.log,2020-02-03T13:20:43-0500,GMFQ8xw0ODOLhSgjmokuAQ,CUSA31A369,674400,Acc,2,"""bodypart.txt"", ""202002129650.pdf"", ""202002129604.pdf""",720816,<daf75b86-8613-4414-8de5-d56a206dfc30@OKCPTLEXCH03.spi.simonspetroleum.com>,
